County,State,FIPS.County.Code,X2006.Prescribing.Rate,Year,County.1,State.1,FIPS.County.Code.1,X2007.Prescribing.Rate,Year.1,County.2,State.2,FIPS.County.Code.2,X2008.Prescribing.Rate,Year.2,County.3,State.3,FIPS.County.Code.3,X2009.Prescribing.Rate,Year.3,County.4,State.4,FIPS.County.Code.4,X2010.Prescribing.Rate,Year.4,County.5,State.5,FIPS.County.Code.5,X2011.Prescribing.Rate,Year.5,County.6,State.6,FIPS.County.Code.6,X2012.Prescribing.Rate,Year.6,County.7,State.7,FIPS.County.Code.7,X2013.Prescribing.Rate,Year.7,County.8,State.8,FIPS.County.Code.8,X2014.Prescribing.Rate,Year.8,County.9,State.9,FIPS.County.Code.9,X2015.Prescribing.Rate,Year.9,County.10,State.10,FIPS.County.Code.10,X2016.Prescribing.Rate,Year.10,County.11,State.11,State.County.FIPS.Code,X2017,Year.11
"Juneau, AK",AK,2110,95.3,X2006.Prescribing.Rate,"Juneau, AK",AK,2110,95.5,X2007.Prescribing.Rate,"Juneau, AK",AK,2110,99,X2008.Prescribing.Rate,"Juneau, AK",AK,2110,99.4,X2009.Prescribing.Rate,"Juneau, AK",AK,2110,92.2,X2010.Prescribing.Rate,"Juneau, AK",AK,2110,91.3,X2011.Prescribing.Rate,"Juneau, AK",AK,2110,90.9,X2012.Prescribing.Rate,"Juneau, AK",AK,2110,90.2,X2013.Prescribing.Rate,"Juneau, AK",AK,2110,87.6,X2014.Prescribing.Rate,"Juneau, AK",AK,2110,81.3,X2015.Prescribing.Rate,"Juneau, AK",AK,2110,79.8,X2016.Prescribing.Rate,VALDEZ CORDOVA,AK,2261,38.2,2017
"Kenai Peninsula, AK",AK,2122,89.1,X2006.Prescribing.Rate,"Kenai Peninsula, AK",AK,2122,91,X2007.Prescribing.Rate,"Kenai Peninsula, AK",AK,2122,101.4,X2008.Prescribing.Rate,"Kenai Peninsula, AK",AK,2122,103.1,X2009.Prescribing.Rate,"Kenai Peninsula, AK",AK,2122,103,X2010.Prescribing.Rate,"Kenai Peninsula, AK",AK,2122,102.6,X2011.Prescribing.Rate,"Kenai Peninsula, AK",AK,2122,101.7,X2012.Prescribing.Rate,"Kenai Peninsula, AK",AK,2122,102.2,X2013.Prescribing.Rate,"Kenai Peninsula, AK",AK,2122,100,X2014.Prescribing.Rate,"Kenai Peninsula, AK",AK,2122,100.1,X2015.Prescribing.Rate,"Kenai Peninsula, AK",AK,2122,97.9,X2016.Prescribing.Rate,WRANGELL,AK,2275,0.2,2017
"Ketchikan Gateway, AK",AK,2130,144.4,X2006.Prescribing.Rate,"Ketchikan Gateway, AK",AK,2130,135,X2007.Prescribing.Rate,"Ketchikan Gateway, AK",AK,2130,136.7,X2008.Prescribing.Rate,"Ketchikan Gateway, AK",AK,2130,136,X2009.Prescribing.Rate,"Ketchikan Gateway, AK",AK,2130,137.5,X2010.Prescribing.Rate,"Ketchikan Gateway, AK",AK,2130,138.2,X2011.Prescribing.Rate,"Ketchikan Gateway, AK",AK,2130,112.7,X2012.Prescribing.Rate,"Ketchikan Gateway, AK",AK,2130,102.9,X2013.Prescribing.Rate,"Ketchikan Gateway, AK",AK,2130,100.6,X2014.Prescribing.Rate,"Ketchikan Gateway, AK",AK,2130,101.8,X2015.Prescribing.Rate,"Ketchikan Gateway, AK",AK,2130,91.5,X2016.Prescribing.Rate,AUTAUGA,AL,1001,106.6,2017
"Kodiak Island, AK",AK,2150,69.4,X2006.Prescribing.Rate,"Kodiak Island, AK",AK,2150,83.8,X2007.Prescribing.Rate,"Kodiak Island, AK",AK,2150,82.2,X2008.Prescribing.Rate,"Kodiak Island, AK",AK,2150,79.9,X2009.Prescribing.Rate,"Kodiak Island, AK",AK,2150,62.2,X2010.Prescribing.Rate,"Kodiak Island, AK",AK,2150,50.2,X2011.Prescribing.Rate,"Kodiak Island, AK",AK,2150,47.7,X2012.Prescribing.Rate,"Kodiak Island, AK",AK,2150,41.7,X2013.Prescribing.Rate,"Kodiak Island, AK",AK,2150,38.6,X2014.Prescribing.Rate,"Kodiak Island, AK",AK,2150,34.2,X2015.Prescribing.Rate,"Kodiak Island, AK",AK,2150,33.6,X2016.Prescribing.Rate,BALDWIN,AL,1003,106.7,2017
"Lake and Peninsula, AK",AK,2164,,X2006.Prescribing.Rate,"Lake and Peninsula, AK",AK,2164,,X2007.Prescribing.Rate,"Lake and Peninsula, AK",AK,2164,,X2008.Prescribing.Rate,"Lake and Peninsula, AK",AK,2164,,X2009.Prescribing.Rate,"Lake and Peninsula, AK",AK,2164,,X2010.Prescribing.Rate,"Lake and Peninsula, AK",AK,2164,,X2011.Prescribing.Rate,"Lake and Peninsula, AK",AK,2164,,X2012.Prescribing.Rate,"Lake and Peninsula, AK",AK,2164,,X2013.Prescribing.Rate,"Lake and Peninsula, AK",AK,2164,,X2014.Prescribing.Rate,"Lake and Peninsula, AK",AK,2164,,X2015.Prescribing.Rate,"Lake and Peninsula, AK",AK,2164,,X2016.Prescribing.Rate,BARBOUR,AL,1005,90.7,2017
"Matanuska-Susitna, AK",AK,2170,82.5,X2006.Prescribing.Rate,"Matanuska-Susitna, AK",AK,2170,88.3,X2007.Prescribing.Rate,"Matanuska-Susitna, AK",AK,2170,93.5,X2008.Prescribing.Rate,"Matanuska-Susitna, AK",AK,2170,85.9,X2009.Prescribing.Rate,"Matanuska-Susitna, AK",AK,2170,100.5,X2010.Prescribing.Rate,"Matanuska-Susitna, AK",AK,2170,97.1,X2011.Prescribing.Rate,"Matanuska-Susitna, AK",AK,2170,91,X2012.Prescribing.Rate,"Matanuska-Susitna, AK",AK,2170,92.3,X2013.Prescribing.Rate,"Matanuska-Susitna, AK",AK,2170,86.2,X2014.Prescribing.Rate,"Matanuska-Susitna, AK",AK,2170,78.9,X2015.Prescribing.Rate,"Matanuska-Susitna, AK",AK,2170,76.4,X2016.Prescribing.Rate,BIBB,AL,1007,80.6,2017
"Nome, AK",AK,2180,,X2006.Prescribing.Rate,"Nome, AK",AK,2180,,X2007.Prescribing.Rate,"Nome, AK",AK,2180,,X2008.Prescribing.Rate,"Nome, AK",AK,2180,,X2009.Prescribing.Rate,"Nome, AK",AK,2180,,X2010.Prescribing.Rate,"Nome, AK",AK,2180,,X2011.Prescribing.Rate,"Nome, AK",AK,2180,,X2012.Prescribing.Rate,"Nome, AK",AK,2180,,X2013.Prescribing.Rate,"Nome, AK",AK,2180,,X2014.Prescribing.Rate,"Nome, AK",AK,2180,,X2015.Prescribing.Rate,"Nome, AK",AK,2180,,X2016.Prescribing.Rate,BLOUNT,AL,1009,48.9,2017
"North Slope, AK",AK,2185,,X2006.Prescribing.Rate,"North Slope, AK",AK,2185,,X2007.Prescribing.Rate,"North Slope, AK",AK,2185,,X2008.Prescribing.Rate,"North Slope, AK",AK,2185,,X2009.Prescribing.Rate,"North Slope, AK",AK,2185,,X2010.Prescribing.Rate,"North Slope, AK",AK,2185,,X2011.Prescribing.Rate,"North Slope, AK",AK,2185,,X2012.Prescribing.Rate,"North Slope, AK",AK,2185,,X2013.Prescribing.Rate,"North Slope, AK",AK,2185,,X2014.Prescribing.Rate,"North Slope, AK",AK,2185,,X2015.Prescribing.Rate,"North Slope, AK",AK,2185,,X2016.Prescribing.Rate,BULLOCK,AL,1011,19.9,2017
"Northwest Arctic, AK",AK,2188,,X2006.Prescribing.Rate,"Northwest Arctic, AK",AK,2188,,X2007.Prescribing.Rate,"Northwest Arctic, AK",AK,2188,,X2008.Prescribing.Rate,"Northwest Arctic, AK",AK,2188,,X2009.Prescribing.Rate,"Northwest Arctic, AK",AK,2188,,X2010.Prescribing.Rate,"Northwest Arctic, AK",AK,2188,,X2011.Prescribing.Rate,"Northwest Arctic, AK",AK,2188,,X2012.Prescribing.Rate,"Northwest Arctic, AK",AK,2188,,X2013.Prescribing.Rate,"Northwest Arctic, AK",AK,2188,,X2014.Prescribing.Rate,"Northwest Arctic, AK",AK,2188,,X2015.Prescribing.Rate,"Northwest Arctic, AK",AK,2188,,X2016.Prescribing.Rate,BUTLER,AL,1013,118.6,2017
"Petersburg, AK",AK,2195,107.4,X2006.Prescribing.Rate,"Petersburg, AK",AK,2195,89.3,X2007.Prescribing.Rate,"Petersburg, AK",AK,2195,62,X2008.Prescribing.Rate,"Petersburg, AK",AK,2195,116.7,X2009.Prescribing.Rate,"Petersburg, AK",AK,2195,107.8,X2010.Prescribing.Rate,"Petersburg, AK",AK,2195,94.5,X2011.Prescribing.Rate,"Petersburg, AK",AK,2195,101.2,X2012.Prescribing.Rate,"Petersburg, AK",AK,2195,100.5,X2013.Prescribing.Rate,"Petersburg, AK",AK,2195,92.2,X2014.Prescribing.Rate,"Petersburg, AK",AK,2195,80.3,X2015.Prescribing.Rate,"Petersburg, AK",AK,2195,71,X2016.Prescribing.Rate,CALHOUN,AL,1015,138.2,2017
"Prince of Wales-Hyder, AK",AK,2198,,X2006.Prescribing.Rate,"Prince of Wales-Hyder, AK",AK,2198,,X2007.Prescribing.Rate,"Prince of Wales-Hyder, AK",AK,2198,,X2008.Prescribing.Rate,"Prince of Wales-Hyder, AK",AK,2198,,X2009.Prescribing.Rate,"Prince of Wales-Hyder, AK",AK,2198,,X2010.Prescribing.Rate,"Prince of Wales-Hyder, AK",AK,2198,,X2011.Prescribing.Rate,"Prince of Wales-Hyder, AK",AK,2198,10.7,X2012.Prescribing.Rate,"Prince of Wales-Hyder, AK",AK,2198,52.6,X2013.Prescribing.Rate,"Prince of Wales-Hyder, AK",AK,2198,59,X2014.Prescribing.Rate,"Prince of Wales-Hyder, AK",AK,2198,63.9,X2015.Prescribing.Rate,"Prince of Wales-Hyder, AK",AK,2198,56.4,X2016.Prescribing.Rate,CHAMBERS,AL,1017,127,2017
"Sitka, AK",AK,2220,,X2006.Prescribing.Rate,"Sitka, AK",AK,2220,,X2007.Prescribing.Rate,"Sitka, AK",AK,2220,,X2008.Prescribing.Rate,"Sitka, AK",AK,2220,,X2009.Prescribing.Rate,"Sitka, AK",AK,2220,,X2010.Prescribing.Rate,"Sitka, AK",AK,2220,,X2011.Prescribing.Rate,"Sitka, AK",AK,2220,,X2012.Prescribing.Rate,"Sitka, AK",AK,2220,,X2013.Prescribing.Rate,"Sitka, AK",AK,2220,14.1,X2014.Prescribing.Rate,"Sitka, AK",AK,2220,10.5,X2015.Prescribing.Rate,"Sitka, AK",AK,2220,9.5,X2016.Prescribing.Rate,CHEROKEE,AL,1019,128.3,2017
"Skagway, AK",AK,2230,,X2006.Prescribing.Rate,"Skagway, AK",AK,2230,,X2007.Prescribing.Rate,"Skagway, AK",AK,2230,,X2008.Prescribing.Rate,"Skagway, AK",AK,2230,,X2009.Prescribing.Rate,"Skagway, AK",AK,2230,,X2010.Prescribing.Rate,"Skagway, AK",AK,2230,,X2011.Prescribing.Rate,"Skagway, AK",AK,2230,,X2012.Prescribing.Rate,"Skagway, AK",AK,2230,,X2013.Prescribing.Rate,"Skagway, AK",AK,2230,,X2014.Prescribing.Rate,"Skagway, AK",AK,2230,,X2015.Prescribing.Rate,"Skagway, AK",AK,2230,,X2016.Prescribing.Rate,CHILTON,AL,1021,107,2017
"Southeast Fairbanks, AK",AK,2240,,X2006.Prescribing.Rate,"Southeast Fairbanks, AK",AK,2240,,X2007.Prescribing.Rate,"Southeast Fairbanks, AK",AK,2240,,X2008.Prescribing.Rate,"Southeast Fairbanks, AK",AK,2240,,X2009.Prescribing.Rate,"Southeast Fairbanks, AK",AK,2240,,X2010.Prescribing.Rate,"Southeast Fairbanks, AK",AK,2240,,X2011.Prescribing.Rate,"Southeast Fairbanks, AK",AK,2240,,X2012.Prescribing.Rate,"Southeast Fairbanks, AK",AK,2240,,X2013.Prescribing.Rate,"Southeast Fairbanks, AK",AK,2240,,X2014.Prescribing.Rate,"Southeast Fairbanks, AK",AK,2240,,X2015.Prescribing.Rate,"Southeast Fairbanks, AK",AK,2240,,X2016.Prescribing.Rate,CHOCTAW,AL,1023,92.2,2017
"Valdez-Cordova, AK",AK,2261,46.5,X2006.Prescribing.Rate,"Valdez-Cordova, AK",AK,2261,55,X2007.Prescribing.Rate,"Valdez-Cordova, AK",AK,2261,62.5,X2008.Prescribing.Rate,"Valdez-Cordova, AK",AK,2261,61.8,X2009.Prescribing.Rate,"Valdez-Cordova, AK",AK,2261,61.4,X2010.Prescribing.Rate,"Valdez-Cordova, AK",AK,2261,56.6,X2011.Prescribing.Rate,"Valdez-Cordova, AK",AK,2261,60.9,X2012.Prescribing.Rate,"Valdez-Cordova, AK",AK,2261,60.2,X2013.Prescribing.Rate,"Valdez-Cordova, AK",AK,2261,56.7,X2014.Prescribing.Rate,"Valdez-Cordova, AK",AK,2261,43,X2015.Prescribing.Rate,"Valdez-Cordova, AK",AK,2261,45,X2016.Prescribing.Rate,CLARKE,AL,1025,154.5,2017
"Wade Hampton, AK",AK,2270,,X2006.Prescribing.Rate,"Wade Hampton, AK",AK,2270,,X2007.Prescribing.Rate,"Wade Hampton, AK",AK,2270,,X2008.Prescribing.Rate,"Wade Hampton, AK",AK,2270,,X2009.Prescribing.Rate,"Wade Hampton, AK",AK,2270,,X2010.Prescribing.Rate,"Wade Hampton, AK",AK,2270,,X2011.Prescribing.Rate,"Wade Hampton, AK",AK,2270,,X2012.Prescribing.Rate,"Wade Hampton, AK",AK,2270,,X2013.Prescribing.Rate,"Wade Hampton, AK",AK,2270,,X2014.Prescribing.Rate,"Wade Hampton, AK",AK,2270,,X2015.Prescribing.Rate,"Wade Hampton, AK",AK,2270,,X2016.Prescribing.Rate,CLAY,AL,1027,112.2,2017
"Wrangell, AK",AK,2275,,X2006.Prescribing.Rate,"Wrangell, AK",AK,2275,29,X2007.Prescribing.Rate,"Wrangell, AK",AK,2275,54.5,X2008.Prescribing.Rate,"Wrangell, AK",AK,2275,12,X2009.Prescribing.Rate,"Wrangell, AK",AK,2275,48.2,X2010.Prescribing.Rate,"Wrangell, AK",AK,2275,,X2011.Prescribing.Rate,"Wrangell, AK",AK,2275,,X2012.Prescribing.Rate,"Wrangell, AK",AK,2275,,X2013.Prescribing.Rate,"Wrangell, AK",AK,2275,0.4,X2014.Prescribing.Rate,"Wrangell, AK",AK,2275,0.4,X2015.Prescribing.Rate,"Wrangell, AK",AK,2275,0.6,X2016.Prescribing.Rate,CLEBURNE,AL,1029,48.1,2017
"Yakutat, AK",AK,2282,,X2006.Prescribing.Rate,"Yakutat, AK",AK,2282,,X2007.Prescribing.Rate,"Yakutat, AK",AK,2282,,X2008.Prescribing.Rate,"Yakutat, AK",AK,2282,,X2009.Prescribing.Rate,"Yakutat, AK",AK,2282,,X2010.Prescribing.Rate,"Yakutat, AK",AK,2282,,X2011.Prescribing.Rate,"Yakutat, AK",AK,2282,,X2012.Prescribing.Rate,"Yakutat, AK",AK,2282,,X2013.Prescribing.Rate,"Yakutat, AK",AK,2282,,X2014.Prescribing.Rate,"Yakutat, AK",AK,2282,,X2015.Prescribing.Rate,"Yakutat, AK",AK,2282,,X2016.Prescribing.Rate,COFFEE,AL,1031,118.7,2017
"Yukon-Koyukuk, AK",AK,2290,,X2006.Prescribing.Rate,"Yukon-Koyukuk, AK",AK,2290,,X2007.Prescribing.Rate,"Yukon-Koyukuk, AK",AK,2290,,X2008.Prescribing.Rate,"Yukon-Koyukuk, AK",AK,2290,,X2009.Prescribing.Rate,"Yukon-Koyukuk, AK",AK,2290,,X2010.Prescribing.Rate,"Yukon-Koyukuk, AK",AK,2290,,X2011.Prescribing.Rate,"Yukon-Koyukuk, AK",AK,2290,,X2012.Prescribing.Rate,"Yukon-Koyukuk, AK",AK,2290,,X2013.Prescribing.Rate,"Yukon-Koyukuk, AK",AK,2290,,X2014.Prescribing.Rate,"Yukon-Koyukuk, AK",AK,2290,,X2015.Prescribing.Rate,"Yukon-Koyukuk, AK",AK,2290,,X2016.Prescribing.Rate,COLBERT,AL,1033,186,2017
"Autauga, AL",AL,1001,134.8,X2006.Prescribing.Rate,"Autauga, AL",AL,1001,135.8,X2007.Prescribing.Rate,"Autauga, AL",AL,1001,144.9,X2008.Prescribing.Rate,"Autauga, AL",AL,1001,147.5,X2009.Prescribing.Rate,"Autauga, AL",AL,1001,151.7,X2010.Prescribing.Rate,"Autauga, AL",AL,1001,144.1,X2011.Prescribing.Rate,"Autauga, AL",AL,1001,157.8,X2012.Prescribing.Rate,"Autauga, AL",AL,1001,166.7,X2013.Prescribing.Rate,"Autauga, AL",AL,1001,145.3,X2014.Prescribing.Rate,"Autauga, AL",AL,1001,129.9,X2015.Prescribing.Rate,"Autauga, AL",AL,1001,129.6,X2016.Prescribing.Rate,CONECUH,AL,1035,84.9,2017
"Baldwin, AL",AL,1003,127.8,X2006.Prescribing.Rate,"Baldwin, AL",AL,1003,133.2,X2007.Prescribing.Rate,"Baldwin, AL",AL,1003,138.3,X2008.Prescribing.Rate,"Baldwin, AL",AL,1003,143.9,X2009.Prescribing.Rate,"Baldwin, AL",AL,1003,143.8,X2010.Prescribing.Rate,"Baldwin, AL",AL,1003,150,X2011.Prescribing.Rate,"Baldwin, AL",AL,1003,156.4,X2012.Prescribing.Rate,"Baldwin, AL",AL,1003,154.3,X2013.Prescribing.Rate,"Baldwin, AL",AL,1003,143.5,X2014.Prescribing.Rate,"Baldwin, AL",AL,1003,132.1,X2015.Prescribing.Rate,"Baldwin, AL",AL,1003,123.8,X2016.Prescribing.Rate,COOSA,AL,1037,24.3,2017
"Barbour, AL",AL,1005,78.1,X2006.Prescribing.Rate,"Barbour, AL",AL,1005,72.7,X2007.Prescribing.Rate,"Barbour, AL",AL,1005,79.6,X2008.Prescribing.Rate,"Barbour, AL",AL,1005,88.5,X2009.Prescribing.Rate,"Barbour, AL",AL,1005,97,X2010.Prescribing.Rate,"Barbour, AL",AL,1005,99.4,X2011.Prescribing.Rate,"Barbour, AL",AL,1005,118.3,X2012.Prescribing.Rate,"Barbour, AL",AL,1005,107.5,X2013.Prescribing.Rate,"Barbour, AL",AL,1005,102,X2014.Prescribing.Rate,"Barbour, AL",AL,1005,93.3,X2015.Prescribing.Rate,"Barbour, AL",AL,1005,92.7,X2016.Prescribing.Rate,COVINGTON,AL,1039,143.1,2017
"Bibb, AL",AL,1007,114.3,X2006.Prescribing.Rate,"Bibb, AL",AL,1007,116.1,X2007.Prescribing.Rate,"Bibb, AL",AL,1007,119.6,X2008.Prescribing.Rate,"Bibb, AL",AL,1007,109.6,X2009.Prescribing.Rate,"Bibb, AL",AL,1007,58.9,X2010.Prescribing.Rate,"Bibb, AL",AL,1007,57.7,X2011.Prescribing.Rate,"Bibb, AL",AL,1007,69.2,X2012.Prescribing.Rate,"Bibb, AL",AL,1007,70.5,X2013.Prescribing.Rate,"Bibb, AL",AL,1007,75.8,X2014.Prescribing.Rate,"Bibb, AL",AL,1007,69.4,X2015.Prescribing.Rate,"Bibb, AL",AL,1007,97.2,X2016.Prescribing.Rate,CRENSHAW,AL,1041,81.1,2017
